"Parameter","Coefficient","SE","CI","CI_low","CI_high","t","df_error","p","Effects","Group"
"(Intercept)",3.5573819428347,0.487133512350352,0.95,2.58930645092124,4.52545743474816,7.30268366401405,88,1.20087907716756e-10,"fixed",""
"treatIN P2",0.516051271046874,0.838594673594591,0.95,-1.15047942448906,2.18258196658281,0.615376280456026,88,0.539894472414215,"fixed",""
"treatWA P1",2.67903074427339,0.784715798393522,0.95,1.11957299135305,4.23848849719374,3.41401402871961,88,0.000969840307587417,"fixed",""
"treatWA P2",-1.1640181169366,1.01157894393127,0.95,-3.17431869968783,0.846282465814626,-1.15069429224467,88,0.252975215492175,"fixed",""
"treatWA P3",0.581759394568271,0.843668509591789,0.95,-1.09485448382071,2.25837327295725,0.689559214257927,88,0.492285779180684,"fixed",""
"cov",-0.039093691067995,0.0440446260170245,0.95,-0.126623129951907,0.0484357478159171,-0.887592757692713,88,0.377179363659919,"fixed",""
"treatIN P2:cov",0.036292870012459,0.0647881157994049,0.95,-0.0924598958772065,0.165045635902125,0.56017789010608,88,0.576781404305093,"fixed",""
"treatWA P1:cov",-0.0857442171770015,0.058830707934656,0.95,-0.202657886796386,0.0311694524423831,-1.45747382935182,88,0.148545046499928,"fixed",""
"treatWA P2:cov",0.179030183129283,0.0848010898048858,0.95,0.0105058368333956,0.34755452942517,2.11117785798748,88,0.0375930570877888,"fixed",""
"treatWA P3:cov",-0.00268221122672656,0.0553685292264483,0.95,-0.112715528189056,0.107351105735603,-0.0484428837861441,88,0.96147305942207,"fixed",""
"SD (Intercept)",0.743610823736845,0.122977499029566,0.95,0.537743258694908,1.02829193716088,NA,NA,NA,"random","treat:random"
"SD (Observations)",0.688508306384938,0.0688508306384938,0.95,0.565964289868727,0.837585862653998,NA,NA,NA,"random","Residual"
