"s.IN","s.WA","index","stat","p.value","otu","Phylum","Class","Order","Family","Genus","Taxon.assignment"
1,0,1,0.763762615825973,1e-04,"Pezizo.OTU23.3","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma_viride"
1,0,1,0.540061724867322,8e-04,"Rhizoc.OTU0","Basidiomycota","Agaricomycetes","Cantherellales","Ceratobasidiaceae","Ceratobasidium","Ceratobasidium_sp_AGGAH9"
1,0,1,0.5,0.0014,"Trichocladium_sp","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Trichocladium","Pezizo.OTU28.1"
1,0,1,0.56114070671585,0.0017,"Pezizo.OTU18.3","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Sclerostagonospora","Sclerostagonospora_opuntiae"
1,0,1,0.456435464587638,0.0055,"Pezizo.OTU25.1","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Cercophora","Cercophora_caudata"
1,0,1,0.456435464587638,0.0056,"Rhizoc.OTU8","Basidiomycota","Agaricomycetes","Cantherellales","Ceratobasidiaceae","Thanatephorus","RS-AG1-IA_AG1_IA,Thanatephorus_sasakii_AG1CCBS14082,Thanatephorus_pendulus_AG1ACBS70082,Thanatephorus_sasakii_AG1CCBS52396,Thanatephorus_sasakii_AG1CCBS20784,RS-AG1-IA_1802_KB"
1,0,1,0.456435464587638,0.0062,"Rhizoc.OTU5","Basidiomycota","Agaricomycetes","Cantherellales","Ceratobasidiaceae","Ceratobasidium","Ceratobasidium_sp_AGGAH9"
0,1,2,0.615911260423564,0.011,"Pezizo.OTU18.1","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Parastagonospora","Parastagonospora_nodorum,Parastagonospora_avenae,Populocrescentia_forlicesenensis,Phaeosphaeria_eustoma,Sclerostagonospora_opuntiae"
0,1,2,0.535283370307995,0.0146,"Pezizo.OTU22.2","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Mitrula","Mitrula_elegans"
0,1,2,0.487846338664898,0.0302,"Pezizo.OTU20","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Ilyonectria","Dactylonectria_torresensis,Ilyonectria_capensis,Ilyonectria_leucospermi"
