"s.IN-NE","s.IN-SW","s.WA-N","s.WA-SE","s.WA-SW","index","stat","p.value","otu","Phylum","Class","Order","Family","Genus","Taxon.assignment"
1,1,0,0,0,6,0.763762615825973,1e-04,"Pezizo.OTU23.3","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma_viride"
0,1,0,0,0,2,0.645497224367903,3e-04,"Rhizoc.OTU5","Basidiomycota","Agaricomycetes","Cantherellales","Ceratobasidiaceae","Ceratobasidium","Ceratobasidium_sp_AGGAH9"
0,0,1,0,0,3,0.627297512594168,0.0011,"Pezizo.OTU21","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Gibellulopsis","Gibellulopsis_nigrescens"
0,0,1,0,0,3,0.590277255330983,0.0012,"Pezizo.OTU19","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Ilyonectria","Ilyonectria_capensis"
1,0,0,0,0,1,0.578804292677501,0.0095,"Pezizo.OTU18.3","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Sclerostagonospora","Sclerostagonospora_opuntiae"
1,1,0,0,0,6,0.540061724867322,0.0116,"Rhizoc.OTU0","Basidiomycota","Agaricomycetes","Cantherellales","Ceratobasidiaceae","Ceratobasidium","Ceratobasidium_sp_AGGAH9"
0,0,1,0,0,3,0.576004820737442,0.0142,"Pezizo.OTU22.2","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Mitrula","Mitrula_elegans"
0,0,1,0,1,14,0.651847999208318,0.0206,"Pezizo.OTU18.1","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Parastagonospora","Parastagonospora_nodorum,Parastagonospora_avenae,Populocrescentia_forlicesenensis,Phaeosphaeria_eustoma,Sclerostagonospora_opuntiae"
1,1,0,0,0,6,0.5,0.0277,"Trichocladium_sp","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Trichocladium","Pezizo.OTU28.1"
0,0,0,1,0,4,0.502518907629606,0.0285,"Pezizo.OTU28","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Ovatospora","Ovatospora_medusarum,Ovatospora_mollicella,Ovatospora_senegalensis,Ovatospora_pseudomollicella,Ovatospora_unipora"
0,0,1,0,1,14,0.469742663656357,0.0404,"Pezizo.OTU22.3","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Neobulgaria","Neobulgaria_pura,Ascocoryne_sarcoides,Neobulgaria_alba,Chloroscypha_enterochroma,Mitrula_elegans,Helicodendron_microsporum"
1,1,0,0,0,6,0.456435464587638,0.0462,"Rhizoc.OTU8","Basidiomycota","Agaricomycetes","Cantherellales","Ceratobasidiaceae","Thanatephorus","RS-AG1-IA_AG1_IA,Thanatephorus_sasakii_AG1CCBS14082,Thanatephorus_pendulus_AG1ACBS70082,Thanatephorus_sasakii_AG1CCBS52396,Thanatephorus_sasakii_AG1CCBS20784,RS-AG1-IA_1802_KB"
0,0,1,0,0,3,0.426401432711221,0.0498,"Pezizo.OTU31","Ascomycota","Dothideomycetes","Pleosporales","Trematosphaeriaceae","Falciformispora","Falciformispora_senegalensis,Flavomyces_fulophazii,Falciformispora_tompkinsii,Stagonospora_paludosa,Trematosphaeria_grisea,Stagonosporopsis_centaureae,Murilentithecium_clematidis,Darksidea_epsilon,Wettsteinina_lacustris,Darksidea_alpha,Byssothecium_circinans"
