"s.small","s.big","index","stat","p.value","otu","Phylum","Class","Order","Family","Genus","Taxon.assignment"
0,1,2,0.4,0.049,"Pezizo.OTU5","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Didymella","Didymella_heteroderae"
1,0,1,0.392232270276368,0.1108,"Pezizo.OTU7","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_fujikuroi"
0,1,2,0.254265227336916,0.3534,"Pezizo.OTU1","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","Cryptosphaeria","Eutypa_lata,Diatrypasimilis_australiensis,Diatrype_disciformis,Cryptosphaeria_ligniota,Cryptosphaeria_subcutanea"
0,1,2,0.2,0.4858,"Pezizo.OTU4","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeodothis","Phaeodothis_winteri"
0,1,2,0.2,0.4899,"Pezizo.OTU6","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe","Diaporthe_eres"
1,0,1,0.277350098112615,0.4919,"Pezizo.OTU10","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","Curvularia_protuberata"
1,0,1,0.277350098112615,0.4926,"Pezizo.OTU2","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Ascochyta","Ascochyta_rabiei"
0,1,2,0.2,0.4969,"Pezizo.OTU0","Ascomycota","Sordariomycetes","Xylariales","Amphisphaeriaceae","Pseudopestalotiopsis","Pseudopestalotiopsis_theae"
0,1,2,0.2,0.4998,"Pezizo.OTU11","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Nectria_haematococca"
1,0,1,0.196116135138184,1,"Pezizo.OTU13","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Clonostachys","Clonostachys_rosea"
1,1,3,0.804399666539844,NA,"OTU.Gm","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales","Geosmithia","Geosmithia_morbida_IN66"
NA,NA,NA,NA,NA,"Pezizo.OTU12","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria_oregonensis,Alternaria_murispora,Alternaria_conjuncta,Alternaria_slovaca,Alternaria_ethzedia,Alternaria_infectoria"
NA,NA,NA,NA,NA,"Pezizo.OTU14","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Pseudocamarosporium","Pseudocamarosporium_lonicerae,Pseudocamarosporium_propinquum,Pseudocamarosporium_piceae,Pseudocamarosporium_corni"
NA,NA,NA,NA,NA,"Pezizo.OTU15","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_fujikuroi"
1,1,3,0.610367937893074,NA,"Pezizo.OTU3","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria_alternata,Alternaria_sp"
NA,NA,NA,NA,NA,"Pezizo.OTU8","Ascomycota","Sordariomycetes","Hypocreales","unclassified","Acremonium","Acremonium_sclerotigenum"
1,1,3,0.656789577429185,NA,"Pezizo.OTU9","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe","Diaporthe_longicolla"
